rank,Team,wdt_ID,Name,Mouse,HZ,DPI,Sensitivity,eDPI,Scoped Sensitivity,Monitor,Monitor HZ,GPU,Resolution,Mousepad,Keyboard,Headset
54,BIG,103,AslaN,Logitech G Pro X Superlight Black,"1,000",400,0.6,240,1,BenQ XL2546K,240,RTX 2070 Super,1920x1080,Corsair MM250,Corsair K65,Corsair HS80
999,FA,104,Fuzari,Zowie ZA12,"1,000",800,0.745,596,1,AOC G2460PF,144,GTX 1050 Ti,1920x1080,Redragon Kunlun Control,Motospeed CK104,Razer Kraken TE
999,FA,105,gtn,Razer Viper,"1,000",400,0.58,232,1,AOC G2460PF,144,GTX 1650,1680x1050,VAXEE PA Winter 21,Razer BlackWidow Chroma TE V2,HyperX Cloud Stinger
999,FA,106,DeNaro,Razer Viper,"1,000",400,0.52,208,1,Acer Predator XB252Q,240,GTX 1050 Ti,1920x1080,Razer Gigantus,HyperX Alloy FPS,Redragon SCYLLA
999,FA,107,ZachaREEE,FinalMouse Starlight 12,"1,000",800,0.5,400,1,ASUS ROG Swift PG258Q,240,RTX 2080 Ti,1920x1080,Zowie G-SR-SE,Varmilo VA87M Sakura Pink,Sennheiser G4ME ONE
59,Knights (B),108,Genghsta,Razer Viper Ultimate,"1,000","1,600",0.115,184,1,BenQ XL2546,240,GTX 1080,1920x1080,Zowie G-SR,HyperX Alloy FPS Pro,HyperX Cloud II
999,FA,109,Re1ease,Razer Viper,"1,000",400,0.6,240,1,Alienware AW2518H,240,RTX 2070 Super,1920x1080,SteelSeries QcK+,CM Storm Quickfire,Sony MDR-1000X
999,FA,112,fxy0,Xtrfy M4 White,"1,000",400,0.942,376,1,BenQ XL2546,240,GTX 1080,1920x1080,SteelSeries QcK Heavy,SteelSeries Apex Pro TKL,HyperX Cloud II
95,REJECT,113,takej,Zowie EC2-B Divina Edition,"1,000",400,0.434,173,0.82,BenQ XL2546S,240,,1280x960,Logitech G640,Logitech G913,Logitech G Pro X
4,DRX,115,Rb,Razer Viper V2 Pro,"1,000",800,0.345,276,1,BenQ XL2546S,240,RTX 3070,1920x1080,Zowie G-SR,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
999,FA,116,GodDead,Logitech G Pro X Superlight,"1,000",400,0.691,276,1,BenQ XL2546S,240,RTX 2080 Ti,1920x1080,SteelSeries QcK+,Varmilo VA87M Sakura Pink,HyperX Cloud Revolver S
999,FA,117,Thwifo,Logitech G Pro Wireless,"1,000",800,0.3,240,0.9,Alienware AW2521HF,240,RTX 2070,1600x900,SteelSeries QcK+,SteelSeries Apex Pro TKL,Sennheiser G4ME ONE
999,FA,118,shinobi,Zowie EC2-B Divina Edition,"1,000",400,0.65,260,1,BenQ XL2546,240,RTX 2080 Super,1024x768,SteelSeries QcK Heavy,Corsair K65,HyperX Cloud II
98,Excel (B),119,chiwawa,Zowie S2 Divina Edition,"1,000",400,0.89,356,1,BenQ XL2546,240,GTX 1660 Super,1920x1080,Zowie G-SR,Zet Blade Pro,HyperX Cloud II
999,FA,120,arch,Xtrfy M4 Retro,"1,000",400,0.58,232,1,BenQ XL2546,240,GTX 1070,1920x1080,Xtrfy XTP1 f0rest Edition,Xtrfy K2-RGB White Edition,HyperX Cloud Alpha PE
999,FA,121,Ultimate,Zowie ZA11,"1,000",400,0.7,280,1,BenQ XL2411,144,,1920x1080,Zowie G-SR,Corsair K-70 RGB,HyperX Cloud Flight
27,FaZe,122,babybay,Logitech G Pro X Superlight,"1,000",800,0.244,195,1,BenQ XL2546,240,RTX 2080,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Mechanical Keyboard,HyperX Cloud Alpha
3,OpTic (L),123,Marved,Razer Viper V2 Pro,"1,000",800,0.306,244,1,BenQ XL2540,240,RTX 3080,1920x1080,Razer Strider,Razer Blackwidow V3 TKL,Razer BlackShark V2
107,ENTER FORCE 36,124,10X,Logitech G Pro Wireless,"1,000","1,600",0.7,"1,120",1.2,BenQ XL2546,240,RTX 2080 Ti,1920x1080,Artisan Hayate Otsu,Logitech G913 TKL,Logitech G Pro X
31,DWG KIA,125,Esperanza,Logitech G Pro X Superlight,"1,000",800,0.32,256,1,BenQ XL2546,240,RTX 2080 Ti,1440x1080,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II
999,FA,126,Sunday,Logitech G Pro Wireless,"1,000",400,0.597,238,0.88,BenQ XL2546,240,RTX 2080 Ti,1920x1080,,,
999,FA,127,Bazzi,Zowie EC2-B,"1,000","1,600",0.17,272,0.75,Alienware AW2518H,240,RTX 2080,1920x1080,Logitech G640,Logitech G Pro X Mechanical Keyboard,
999,FA,128,Moothie,Zowie S1,"1,000",400,0.425,170,0.764,BenQ XL2546,240,RTX 2070 Super,1920x1080,Artisan Zero (XL/Soft),Filco Majestouch2 TKL,
49,T1,129,Munchkin,Logitech G Pro X Superlight Black,"1,000",800,0.2,160,1,,,,1440x1080,VAXEE PA Winter 21,Leopold FC750R,
70,NYFU (B),130,vice,Logitech G Pro Wireless,"1,000",800,0.245,196,1,BenQ XL2546,240,GTX 1080 Ti,1280x960,HyperX FURY S Speed Edition,Logitech G915 TKL,HyperX Cloud Revolver S
49,T1 (B),131,steel,Razer DeathAdder V3 Pro,"1,000",800,0.45,360,1,BenQ XL2546,240,RTX 3080,1920x1080,Razer Gigantus V2,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro
999,FA,132,Enzo,Logitech G Pro X Superlight Black,"1,000",800,0.5,400,1,BenQ XL2546,240,RTX 2080 Super,1440x1080,VAXEE PA Black,Razer Huntsman V2,HyperX Cloud II
999,FA,133,HyP,Xtrfy M4 White,"1,000",800,0.45,360,1,,,RTX 2080 Ti,1920x1080,,,
999,FA,134,CREA,Zowie EC2-B Divina Edition,"1,000",800,0.345,276,1,BenQ XL2546,240,,1920x1080,Zowie G-SR,Corsair STRAFE,HyperX Cloud Alpha
1,FPX,135,Zyppan,Logitech G Pro X Superlight Black,"1,000",800,0.3,240,1,,,GTX 1080 Ti,1920x1080,Zowie G-SR-SE Rouge,,
131,FaZe (S),136,Shanks,Zowie FK1,"1,000",400,0.6,240,1,BenQ XL2546,240,RTX 2060 Super,1920x1080,Zowie G-SR,Logitech G Pro X Mechanical Keyboard,HyperX Cloud II
38,100T,137,Asuna,Razer DeathAdder V2,"1,000","1,400",0.272,380,0.9,BenQ XL2546K,240,RTX 3090,1920x1080,Artisan FX Zero Soft,Corsair K-70 RGB,HyperX Cloud II
999,FA,138,KOLER,Logitech G Pro Wireless,"1,000",400,0.758,303,1,BenQ XL2546,240,,1920x1080,Zowie G-SR,Corsair K63 RGB,Sennheiser GAME ZERO
27,FaZe (B),139,Dicey,VAXEE OUTSET AX,"1,000",800,0.18,144,1,BenQ XL2546K,240,GTX 1080 Ti,1920x1080,Artisan Zero,Ducky One 2 Mini RGB,Sennheiser G4ME ONE
44,Gen.G (B),140,jcStani,Zowie ZA11,"1,000",800,0.4,320,1,,240,,1440x1080,Logitech G640,Leopold FC750R,Audio Technica M50x + modmic
999,FA,141,ROK3T,Logitech G Pro Wireless,"1,000",800,0.3,240,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,Zowie G-SR,Logitech G Pro X Mechanical Keyboard,Logitech G Pro X
999,FA,142,Yacine,Logitech G Pro Wireless,"1,000",800,0.4,320,1,BenQ XL2546,240,RTX 2080 Ti,1920x1080,QPAD FX-50,Xtrfy XG1-R LED,HyperX Cloud Alpha
999,FA,143,bonkar,Razer Viper,"1,000",800,0.384,307,1,ASUS ROG Swift PG258Q,240,GTX 1080,1680x1050,Xtrfy XTP1 Volcano Edition,Xtrfy XG1-R LED,HyperX Cloud Alpha
999,FA,144,ohai,Razer Orochi V2,"1,000",400,0.47,188,1,Alienware AW2518H,240,RTX 2080 Ti,1920x1080,SteelSeries QcK Heavy,Ducky One 2 Mini RGB,ASTRO A40
999,FA,145,rara,Logitech G703,"1,000",800,0.355,284,1,ASUS ROG Swift PG258Q,240,RTX 2080,1280x960,Logitech G640,HyperX Alloy FPS Pro,HyperX Cloud II
999,FA,146,Rawkus,FinalMouse Starlight Pro,"1,000",800,0.4,320,1,BenQ XL2546,240,RTX 2080,1920x1080,Artisan Zero,Ducky One 2 Mini RGB,Sennheiser GAME ZERO
